Designator,Mid X,Mid Y,Rotation,Layer
C1,68.499228,-88.978605,270.0,top
C10,96.25,-75.25,180.0,top
C11,84.75,-92.5,135.0,top
C12,64.6,-96.2,90.0,top
C13,54.4,-77.8,225.0,top
C14,47.5,-85.0,45.0,top
C15,70.2,-59.2,270.0,top
C16,68.0,-59.2,270.0,top
C17,43.75,-64.5,0.0,top
C18,55.25,-47.5,315.0,top
C19,72.4,-59.2,270.0,top
C2,64.999228,-88.978605,270.0,top
C3,75.5,-43.75,270.0,top
C4,68.249228,-84.778606,90.0,top
C5,64.999228,-84.778606,90.0,top
C6,92.5,-55.25,225.0,top
C7,75.8,-52.4,270.0,top
C8,78.0,-52.4,270.0,top
C9,80.2,-52.4,270.0,top
D2,60.0,-86.0,90.0,top
R1,75.8,-48.2,90.0,top
R2,78.0,-48.2,90.0,top
R3,80.2,-48.2,90.0,top
R4,49.501903,-73.301903,45.0,top
U1,74.499228,-85.728605,180.0,top
U2,51.8,-75.6,225.0,top
U3,70.0,-51.75,0.0,top
